action_id,time
1,12
2,31
3,23
4,17
5,34
6,29
1,9
2,20
3,35
4,5
5,16
6,19
1,16
2,17
3,24
4,30
5,26
6,32
1,23
2,33
3,10
4,27
5,5
6,29
1,17
2,18
3,28
4,22
5,6
6,9
1,7
2,34
3,25
4,35
5,16
6,29
1,7
2,29
3,34
4,33
5,20
6,8
1,17
2,16
3,6
4,25
5,8
6,12
1,22
2,31
3,18
4,18
5,25
6,35
1,34
2,28
3,24
4,8
5,26
6,25
1,28
2,7
3,20
4,6
5,7
6,29
1,18
2,18
3,14
4,5
5,9
6,33
1,11
2,16
3,26
4,26
5,10
6,24
1,15
2,13
3,14
4,23
5,30
6,29
1,12
2,31
3,9
4,33
5,14
6,10
1,12
2,7
3,27
4,13
5,22
6,20
1,15
2,23
3,33
4,7
5,8
6,26
1,26
2,10
3,28
4,11
5,34
6,32
1,26
2,25
3,16
4,25
5,32
6,32
1,14
2,31
3,35
4,24
5,20
6,13
1,23
2,7
3,19
4,21
5,13
6,6
1,21
2,7
3,8
4,5
5,34
6,20
1,5
2,17
3,29
4,10
5,28
6,6
1,24
2,21
3,32
4,20
5,19
6,14
1,8
2,11
3,13
4,28
5,23
6,22
1,23
2,22
3,15
4,17
5,24
6,6
1,30
2,29
3,22
4,9
5,19
6,10
1,26
2,17
3,28
4,14
5,22
6,28
1,18
2,35
3,23
4,21
5,29
6,12
1,10
2,26
3,9
4,32
5,25
6,27
1,10
2,25
3,19
4,26
5,9
6,20
1,21
2,29
3,27
4,21
5,33
6,33
1,6
2,21
3,31
4,32
5,5
6,19
1,27
2,34
3,20
4,27
5,33
6,32
1,35
2,11
3,11
4,18
5,29
6,33
1,20
2,6
3,31
4,35
5,33
6,31
1,26
2,32
3,29
4,33
5,33
6,34
1,34
2,5
3,7
4,33
5,6
6,25
1,13
2,5
3,26
4,13
5,13
6,35
1,17
2,8
3,9
4,16
5,17
6,18
1,27
2,30
3,10
4,33
5,33
6,9
1,35
2,22
3,5
4,25
5,7
6,35
1,30
2,22
3,29
4,11
5,22
6,5
1,30
2,22
3,27
4,10
5,10
6,8
1,24
2,30
3,28
4,19
5,24
6,17
1,29
2,16
3,5
4,20
5,15
6,8
1,35
2,32
3,19
4,33
5,14
6,20
1,22
2,22
3,32
4,6
5,32
6,22
1,5
2,35
3,23
4,16
5,12
6,16
1,28
2,5
3,17
4,35
5,14
6,24
